"n","pmask","q","shape3","p.value","Lambda","loglik.F","loglik.R"
1000,0.215,0.825,1.5,0.0407394647457294,9.98155910511559,-6165.2886973157,-6170.27947686825
1000,0.215,0.825,1.75,0.0656551379904555,8.82389727549526,-6308.4679994064,-6312.87994804415
1000,0.215,0.825,2,0.0109869891491353,13.0598582852635,-6306.26991493229,-6312.79984407492
1000,0.215,0.825,2.25,9.20546910872313e-06,28.6504242086721,-6303.20139817481,-6317.52661027915
1000,0.215,0.825,2.5,0.0255126168745727,11.0953905880069,-6229.53683737346,-6235.08453266746
1000,0.215,0.825,2.75,0.073501760823024,8.5461119923657,-6180.42050524372,-6184.6935612399
1000,0.215,0.825,3,0.000475047644129973,20.10995221741,-6299.18719617947,-6309.24217228818
1000,0.215,0.825,0.25,4.20534643357885e-216,1004.28579526209,-4497.36145268397,-4999.50435031502
1000,0.215,0.825,0.5,1.46405420222088e-28,136.660103246319,-5775.43367694549,-5843.76372856865
1000,0.215,0.825,0.75,8.64065908597285e-11,52.9712402464593,-5997.87369778466,-6024.35931790789
1000,0.215,0.825,1,0.255801637965261,5.32224577300985,-6135.35773973472,-6138.01886262122
1000,0.215,0.825,1.1308,0.770530963107698,1.8106627831603,-6279.9459404307,-6280.85127182228
1000,0.215,0.825,1.25,0.191688529324676,6.10159431653665,-6209.17884424456,-6212.22964140283
1000,0.215,0.825,1.5,0.670142208906977,2.35848565187189,-6319.62811039788,-6320.80735322381
1000,0.215,0.825,1.75,9.23364896437986e-05,23.6857182042841,-6218.88247681091,-6230.72533591305
1000,0.215,0.825,2,0.000432231511225285,20.317550860198,-6225.63784044194,-6235.79661587203
1000,0.215,0.825,2.25,2.10624722987163e-05,26.8757449008572,-6327.29788306855,-6340.73575551898
1000,0.215,0.825,2.5,0.00452377272400783,15.0871805753559,-6272.92371943434,-6280.46730972202
1000,0.215,0.825,2.75,0.000103254738548383,23.443227717602,-6173.22381283411,-6184.94542669291
1000,0.215,0.825,3,0.00152593259407764,17.5276694926615,-6125.03823824322,-6133.80207298955
